game_pk,stadium,temperature,condition,wind
778394,Coors Field,71,Cloudy,"4 mph, L To R"
778396,Chase Field,85,Clear,"6 mph, L To R"
778398,T-Mobile Park,50,Roof Closed,"12 mph, Out To CF"
778397,Oracle Park,59,Clear,"14 mph, Out To CF"
778395,Sutter Health Park,71,Clear,"7 mph, Out To RF"
778389,PNC Park,39,Sunny,"7 mph, Out To LF"
778390,Citi Field,44,Sunny,"7 mph, L To R"
778387,Comerica Park,42,Cloudy,"2 mph, In From RF"
778385,Wrigley Field,40,Overcast,"15 mph, Out To LF"
778381,Sutter Health Park,75,Sunny,"5 mph, L To R"
778380,Chase Field,78,Roof Closed,"0 mph, None"
778376,Oracle Park,65,Sunny,"5 mph, Out To CF"
778392,Nationals Park,52,Sunny,"6 mph, Out To RF"
778383,T-Mobile Park,52,Partly Cloudy,"1 mph, Out To LF"
778391,Progressive Field,44,Cloudy,"5 mph, R To L"
778386,Fenway Park,46,Clear,"3 mph, Out To RF"
778399,George M. Steinbrenner Field,73,Clear,"10 mph, L To R"
778393,Truist Park,67,Clear,"6 mph, In From LF"
778388,Kauffman Stadium,74,Partly Cloudy,"6 mph, L To R"
778379,Coors Field,71,Clear,"9 mph, L To R"
778382,George M. Steinbrenner Field,75,Partly Cloudy,"5 mph, L To R"
778378,Progressive Field,44,Cloudy,"5 mph, Calm"
778373,Kauffman Stadium,67,Sunny,"23 mph, R To L"
778371,Coors Field,64,Sunny,"5 mph, L To R"
778377,Fenway Park,49,Cloudy,"9 mph, Out To CF"
778384,Truist Park,74,Overcast,"12 mph, R To L"
778375,Progressive Field,42,Cloudy,"6 mph, In From CF"
778374,Great American Ball Park,48,Cloudy,"10 mph, Out To RF"
778367,George M. Steinbrenner Field,73,Clear,"12 mph, Out To CF"
778370,Yankee Stadium,44,Rain,"13 mph, In From LF"
778369,loanDepot park,79,Clear,"9 mph, In From RF"
778366,Rate Field,48,Clear,"6 mph, L To R"
778368,Daikin Park,73,Roof Closed,"0 mph, None"
778363,Target Field,54,Partly Cloudy,"4 mph, Out To CF"
778365,Busch Stadium,54,Partly Cloudy,"6 mph, In From LF"
778361,Petco Park,70,Partly Cloudy,"5 mph, Out To RF"
778360,T-Mobile Park,52,Partly Cloudy,"8 mph, In From LF"
778364,Chase Field,76,Roof Closed,"0 mph, None"
778358,Sutter Health Park,73,Partly Cloudy,"12 mph, Out To CF"
778356,Dodger Stadium,73,Clear,"7 mph, Out To RF"
778348,Target Field,60,Cloudy,"12 mph, R To L"
778347,Busch Stadium,60,Sunny,"4 mph, R To L"
778355,Yankee Stadium,41,Drizzle,"11 mph, L To R"
778346,Sutter Health Park,69,Sunny,"5 mph, Out To RF"
778362,Oriole Park at Camden Yards,52,Cloudy,"10 mph, In From LF"
778353,George M. Steinbrenner Field,73,Sunny,"15 mph, L To R"
778349,Rate Field,57,Sunny,"8 mph, In From LF"
778354,loanDepot park,82,Sunny,"10 mph, Out To LF"
778359,Progressive Field,46,Clear,"5 mph, In From LF"
778357,Great American Ball Park,58,Clear,"6 mph, Out To RF"
778351,Daikin Park,73,Roof Closed,"0 mph, None"
778350,Chase Field,76,Roof Closed,"0 mph, None"
778352,Petco Park,63,Cloudy,"7 mph, L To R"
778345,Dodger Stadium,68,Partly Cloudy,"4 mph, L To R"
778341,T-Mobile Park,55,Partly Cloudy,"9 mph, In From CF"
778344,Oriole Park at Camden Yards,61,Partly Cloudy,"9 mph, L To R"
778339,Yankee Stadium,54,Cloudy,"13 mph, Out To RF"
778342,Progressive Field,57,Partly Cloudy,"7 mph, In From LF"
778343,Great American Ball Park,60,Cloudy,"8 mph, In From RF"
778340,George M. Steinbrenner Field,75,Sunny,"0 mph, None"
778337,loanDepot park,79,Sunny,"7 mph, Out To RF"
778329,Daikin Park,73,Roof Closed,"0 mph, None"
778335,Target Field,64,Partly Cloudy,"10 mph, In From RF"
778338,Rate Field,63,Cloudy,"7 mph, In From RF"
778336,Busch Stadium,73,Sunny,"20 mph, R To L"
778333,Sutter Health Park,79,Sunny,"14 mph, In From LF"
778330,Petco Park,64,Sunny,"7 mph, L To R"
778334,T-Mobile Park,54,Sunny,"3 mph, L To R"
778332,Chase Field,76,Roof Closed,"0 mph, None"
778331,Dodger Stadium,73,Sunny,"8 mph, Out To RF"
778321,PNC Park,75,Cloudy,"13 mph, Out To LF"
778320,Citizens Bank Park,68,Partly Cloudy,"5 mph, Out To CF"
778328,George M. Steinbrenner Field,78,Clear,"9 mph, L To R"
778327,Yankee Stadium,59,Cloudy,"7 mph, R To L"
778322,Rogers Centre,68,Roof Closed,"0 mph, None"
778324,Target Field,48,Cloudy,"18 mph, Out To RF"
778323,American Family Field,64,Roof Closed,"0 mph, None"
778325,Busch Stadium,63,Cloudy,"15 mph, Out To RF"
778315,Petco Park,63,Clear,"6 mph, L To R"
778326,Dodger Stadium,59,Clear,"1 mph, L To R"
778314,PNC Park,46,Cloudy,"14 mph, Out To LF"
778316,Great American Ball Park,53,Partly Cloudy,"16 mph, Out To LF"
778318,loanDepot park,79,Clear,"10 mph, R To L"
778313,Citizens Bank Park,56,Partly Cloudy,"25 mph, L To R"
778317,Oriole Park at Camden Yards,59,Partly Cloudy,"18 mph, Out To RF"
778319,George M. Steinbrenner Field,75,Clear,"12 mph, L To R"
778312,Yankee Stadium,55,Clear,"13 mph, L To R"
778311,Rogers Centre,68,Roof Closed,"0 mph, None"
778307,Target Field,53,Clear,"12 mph, Out To RF"
778309,Rate Field,54,Partly Cloudy,"12 mph, Out To CF"
778310,American Family Field,64,Roof Closed,"0 mph, None"
778308,Busch Stadium,62,Clear,"16 mph, L To R"
778306,Globe Life Field,74,Clear,"7 mph, R To L"
778305,Petco Park,62,Clear,"10 mph, L To R"
778302,Dodger Stadium,60,Partly Cloudy,"2 mph, Out To RF"
778297,Rogers Centre,68,Roof Closed,"0 mph, None"
778299,Target Field,53,Partly Cloudy,"12 mph, In From RF"
778295,American Family Field,66,Roof Closed,"0 mph, None"
778290,Busch Stadium,66,Sunny,"4 mph, R To L"
778288,Petco Park,65,Partly Cloudy,"6 mph, L To R"
778301,Oriole Park at Camden Yards,55,Clear,"22 mph, Out To RF"
778293,PNC Park,52,Clear,"14 mph, Out To RF"
778304,Great American Ball Park,58,Partly Cloudy,"9 mph, Out To CF"
778303,loanDepot park,78,Clear,"8 mph, L To R"
778296,Citizens Bank Park,53,Partly Cloudy,"22 mph, L To R"
778298,George M. Steinbrenner Field,76,Clear,"12 mph, L To R"
778300,Yankee Stadium,48,Partly Cloudy,"16 mph, Out To RF"
778294,Rate Field,42,Partly Cloudy,"10 mph, In From LF"
778289,Globe Life Field,74,Roof Closed,"0 mph, None"
778287,Dodger Stadium,59,Partly Cloudy,"4 mph, L To R"
778291,loanDepot park,78,Partly Cloudy,"11 mph, L To R"
778280,PNC Park,47,Sunny,"6 mph, L To R"
778285,Great American Ball Park,62,Partly Cloudy,"8 mph, R To L"
778283,Rate Field,64,Cloudy,"16 mph, Out To LF"
778279,Citizens Bank Park,62,Sunny,"13 mph, Out To CF"
778292,Oriole Park at Camden Yards,65,Clear,"2 mph, L To R"
778286,Comerica Park,60,Partly Cloudy,"3 mph, In From CF"
778282,George M. Steinbrenner Field,84,Clear,"7 mph, L To R"
778278,Citi Field,59,Partly Cloudy,"8 mph, L To R"
778281,Globe Life Field,74,Roof Closed,"0 mph, None"
778268,Wrigley Field,74,Cloudy,"11 mph, Out To CF"
778277,Comerica Park,79,Partly Cloudy,"3 mph, In From RF"
778271,PNC Park,84,Partly Cloudy,"14 mph, R To L"
778274,Citizens Bank Park,67,Partly Cloudy,"13 mph, Out To CF"
778276,Oriole Park at Camden Yards,72,Partly Cloudy,"14 mph, Out To LF"
778272,George M. Steinbrenner Field,87,Clear,"10 mph, R To L"
778273,Rogers Centre,68,Roof Closed,"0 mph, None"
778270,Citi Field,57,Partly Cloudy,"14 mph, Out To LF"
778275,Fenway Park,61,Overcast,"15 mph, Out To CF"
778284,Truist Park,83,Clear,"9 mph, Out To RF"
778263,Globe Life Field,74,Roof Closed,"0 mph, None"
778269,Daikin Park,73,Clear,"0 mph, None"
778261,American Family Field,66,Roof Closed,"0 mph, None"
778260,Angel Stadium,60,Cloudy,"6 mph, R To L"
778266,Coors Field,61,Partly Cloudy,"10 mph, In From LF"
778252,Citizens Bank Park,75,Partly Cloudy,"14 mph, Out To RF"
778265,Comerica Park,62,Cloudy,"13 mph, Out To LF"
778257,Wrigley Field,49,Cloudy,"4 mph, Out To CF"
778258,Rogers Centre,68,Roof Closed,"0 mph, None"
778262,Oriole Park at Camden Yards,80,Overcast,"9 mph, Out To CF"
778254,PNC Park,83,Partly Cloudy,"15 mph, Out To LF"
778256,Citi Field,83,Partly Cloudy,"15 mph, Out To CF"
778251,Globe Life Field,74,Roof Closed,"0 mph, None"
778247,Coors Field,45,Partly Cloudy,"3 mph, In From LF"
778264,Fenway Park,83,Sunny,"11 mph, In From RF"
778255,George M. Steinbrenner Field,89,Sunny,"15 mph, R To L"
778259,Daikin Park,73,Roof Closed,"0 mph, None"
778253,American Family Field,64,Roof Closed,"0 mph, None"
778267,Truist Park,83,Partly Cloudy,"6 mph, In From RF"
778243,Angel Stadium,69,Clear,"9 mph, Out To RF"
778250,Oriole Park at Camden Yards,72,Partly Cloudy,"8 mph, In From LF"
778242,PNC Park,58,Partly Cloudy,"6 mph, In From LF"
778249,Truist Park,80,Partly Cloudy,"6 mph, L To R"
778245,Fenway Park,59,Sunny,"13 mph, L To R"
778248,Citizens Bank Park,68,Partly Cloudy,"13 mph, In From LF"
778241,Rogers Centre,68,Roof Closed,"0 mph, None"
778246,Comerica Park,53,Sunny,"7 mph, In From LF"
778244,Citi Field,64,Sunny,"14 mph, In From LF"
778240,George M. Steinbrenner Field,84,Partly Cloudy,"10 mph, R To L"
778239,American Family Field,63,Roof Closed,"0 mph, None"
778236,Wrigley Field,50,Overcast,"6 mph, In From RF"
778234,Globe Life Field,74,Roof Closed,"0 mph, None"
778235,Coors Field,58,Cloudy,"12 mph, In From LF"
778266,Coors Field,61,Partly Cloudy,"10 mph, In From LF"
778232,Angel Stadium,75,Sunny,"6 mph, Out To CF"
778237,Daikin Park,73,Roof Closed,"0 mph, None"
778238,Fenway Park,53,Partly Cloudy,"2 mph, R To L"
778227,Progressive Field,68,Partly Cloudy,"17 mph, Out To RF"
778228,Comerica Park,63,Clear,"16 mph, Out To LF"
778230,loanDepot park,79,Partly Cloudy,"10 mph, L To R"
778225,Citi Field,54,Cloudy,"9 mph, R To L"
778233,Truist Park,79,Partly Cloudy,"9 mph, L To R"
778231,Daikin Park,73,Roof Closed,"0 mph, None"
778226,Oracle Park,62,Clear,"7 mph, Out To CF"
778218,Progressive Field,56,Clear,"7 mph, In From CF"
778221,Comerica Park,65,Clear,"2 mph, R To L"
778219,loanDepot park,79,Partly Cloudy,"8 mph, L To R"
778222,Nationals Park,77,Partly Cloudy,"8 mph, L To R"
778224,Fenway Park,56,Clear,"3 mph, In From RF"
778223,Citi Field,73,Cloudy,"8 mph, Out To RF"
778229,Truist Park,70,Partly Cloudy,"5 mph, Out To RF"
778215,Kauffman Stadium,81,Clear,"15 mph, R To L"
778220,Wrigley Field,71,Partly Cloudy,"9 mph, Out To CF"
778216,Target Field,69,Clear,"11 mph, Out To LF"
778217,Daikin Park,73,Roof Closed,"0 mph, None"
778211,Angel Stadium,64,Clear,"9 mph, Out To CF"
778212,Chase Field,88,Clear,"3 mph, L To R"
778210,Oracle Park,56,Partly Cloudy,"10 mph, Varies"
778213,Sutter Health Park,71,Clear,"12 mph, Out To RF"
778214,Truist Park,76,Partly Cloudy,"6 mph, L To R"
778209,Comerica Park,73,Sunny,"7 mph, In From RF"
778203,Citi Field,70,Sunny,"8 mph, L To R"
778208,loanDepot park,78,Partly Cloudy,"9 mph, Out To RF"
778206,Progressive Field,71,Sunny,"4 mph, Out To RF"
778204,Nationals Park,75,Clear,"6 mph, R To L"
778207,Fenway Park,70,Clear,"10 mph, In From LF"
778205,Wrigley Field,66,Clear,"4 mph, Out To LF"
778200,Daikin Park,73,Roof Closed,"0 mph, None"
778201,Target Field,66,Partly Cloudy,"14 mph, Out To CF"
778202,Angel Stadium,61,Cloudy,"7 mph, Varies"
778199,Chase Field,87,Clear,"4 mph, L To R"
778198,Oracle Park,54,Cloudy,"16 mph, Out To CF"
778197,Sutter Health Park,65,Clear,"7 mph, Varies"
778195,Kauffman Stadium,76,Cloudy,"5 mph, R To L"
778189,Target Field,52,Overcast,"7 mph, In From LF"
778196,Fenway Park,68,Sunny,"8 mph, R To L"
778190,Kauffman Stadium,71,Partly Cloudy,"2 mph, R To L"
778195,Kauffman Stadium,76,Cloudy,"5 mph, R To L"
778194,Oracle Park,54,Overcast,"11 mph, Out To CF"
778193,Nationals Park,75,Clear,"8 mph, Out To LF"
778191,Angel Stadium,63,Clear,"8 mph, Out To CF"
778188,Chase Field,85,Clear,"3 mph, Varies"
778192,Sutter Health Park,57,Cloudy,"14 mph, Out To CF"
778182,Wrigley Field,45,Overcast,"16 mph, In From LF"
778183,Nationals Park,73,Partly Cloudy,"13 mph, Out To LF"
778185,Yankee Stadium,68,Partly Cloudy,"12 mph, Varies"
778187,Kauffman Stadium,63,Partly Cloudy,"10 mph, L To R"
778186,Target Field,57,Partly Cloudy,"10 mph, In From LF"
778184,Busch Stadium,72,Partly Cloudy,"13 mph, L To R"
778181,Coors Field,43,Overcast,"10 mph, In From LF"
778172,Petco Park,62,Partly Cloudy,"11 mph, L To R"
778177,Chase Field,88,Clear,"2 mph, L To R"
778175,T-Mobile Park,67,Partly Cloudy,"12 mph, In From LF"
778178,Sutter Health Park,60,Partly Cloudy,"8 mph, Out To CF"
778176,Dodger Stadium,58,Partly Cloudy,"9 mph, Out To CF"
778171,Oracle Park,55,Partly Cloudy,"9 mph, Out To CF"
778180,Comerica Park,54,Cloudy,"15 mph, Out To CF"
778179,Progressive Field,47,Cloudy,"13 mph, In From LF"
778179,Progressive Field,47,Cloudy,"13 mph, In From LF"
778169,Progressive Field,48,Overcast,"13 mph, In From CF"
778168,Comerica Park,49,Cloudy,"15 mph, Out To CF"
778180,Comerica Park,54,Cloudy,"15 mph, Out To CF"
778166,Target Field,58,Sunny,"10 mph, In From CF"
778164,Busch Stadium,63,Cloudy,"9 mph, In From LF"
778161,Coors Field,62,Sunny,"9 mph, In From CF"
778173,Nationals Park,73,Partly Cloudy,"9 mph, Out To LF"
778159,Oracle Park,58,Partly Cloudy,"8 mph, Varies"
778174,Wrigley Field,49,Sunny,"14 mph, In From CF"
778165,Sutter Health Park,60,Cloudy,"2 mph, Out To CF"
778167,Kauffman Stadium,61,Overcast,"10 mph, In From RF"
778162,Chase Field,83,Clear,"2 mph, L To R"
778160,Petco Park,62,Partly Cloudy,"11 mph, Out To RF"
778163,Dodger Stadium,58,Cloudy,"1 mph, L To R"
778154,T-Mobile Park,63,Clear,"3 mph, Calm"
778170,Yankee Stadium,58,Partly Cloudy,"23 mph, Out To RF"
778153,Nationals Park,64,Sunny,"19 mph, In From LF"
778156,Yankee Stadium,59,Partly Cloudy,"22 mph, Out To RF"
778170,Yankee Stadium,58,Partly Cloudy,"23 mph, Out To RF"
778157,Progressive Field,54,Sunny,"8 mph, In From LF"
778155,Comerica Park,55,Sunny,"5 mph, Out To RF"
778144,Target Field,60,Partly Cloudy,"8 mph, R To L"
778152,Kauffman Stadium,62,Cloudy,"11 mph, R To L"
778150,Busch Stadium,61,Cloudy,"9 mph, R To L"
778148,Coors Field,76,Sunny,"7 mph, Out To LF"
778151,Oracle Park,57,Partly Cloudy,"8 mph, Out To CF"
778149,Sutter Health Park,58,Cloudy,"6 mph, Out To LF"
778145,Dodger Stadium,62,Partly Cloudy,"6 mph, Out To CF"
778146,Petco Park,64,Partly Cloudy,"9 mph, L To R"
778147,Chase Field,76,Roof Closed,"0 mph, None"
778136,T-Mobile Park,56,Overcast,"0 mph, Calm"
778158,Wrigley Field,59,Clear,"11 mph, In From RF"
778138,Nationals Park,75,Sunny,"7 mph, Out To CF"
778139,Progressive Field,71,Clear,"8 mph, Out To CF"
778140,Oriole Park at Camden Yards,73,Clear,"8 mph, Out To LF"
778141,Great American Ball Park,81,Clear,"6 mph, R To L"
778143,Globe Life Field,74,Roof Closed,"0 mph, None"
778142,Daikin Park,73,Roof Closed,"0 mph, None"
778137,Coors Field,55,Partly Cloudy,"5 mph, R To L"
778132,Dodger Stadium,62,Clear,"9 mph, Out To RF"
778129,Progressive Field,65,Overcast,"19 mph, Out To RF"
778133,Oriole Park at Camden Yards,83,Partly Cloudy,"13 mph, Out To LF"
778135,PNC Park,64,Overcast,"15 mph, Out To LF"
778131,Citizens Bank Park,80,Partly Cloudy,"15 mph, Out To CF"
778128,George M. Steinbrenner Field,85,Partly Cloudy,"10 mph, R To L"
778127,Rogers Centre,68,Roof Closed,"0 mph, None"
778130,Citi Field,71,Clear,"12 mph, Out To LF"
778125,Rate Field,63,Partly Cloudy,"8 mph, Out To RF"
778122,Globe Life Field,74,Roof Closed,"0 mph, None"
778124,Daikin Park,73,Roof Closed,"0 mph, None"
778120,Coors Field,59,Cloudy,"7 mph, Out To CF"
778121,T-Mobile Park,54,Roof Closed,"9 mph, In From CF"
778126,Petco Park,64,Clear,"8 mph, L To R"
778123,Dodger Stadium,62,Clear,"2 mph, L To R"
778134,Great American Ball Park,69,Partly Cloudy,"4 mph, In From RF"
778134,Great American Ball Park,69,Partly Cloudy,"4 mph, In From RF"
778119,Great American Ball Park,77,Partly Cloudy,"3 mph, In From CF"
778110,Daikin Park,73,Roof Closed,"0 mph, None"
778102,Coors Field,67,Partly Cloudy,"7 mph, In From LF"
778109,Dodger Stadium,67,Cloudy,"4 mph, Out To RF"
778104,T-Mobile Park,56,Partly Cloudy,"6 mph, L To R"
778105,Petco Park,65,Partly Cloudy,"10 mph, L To R"
778116,Progressive Field,49,Partly Cloudy,"9 mph, In From CF"
778115,Oriole Park at Camden Yards,84,Clear,"4 mph, In From LF"
778112,PNC Park,72,Partly Cloudy,"4 mph, Out To LF"
778118,Citizens Bank Park,78,Clear,"10 mph, In From LF"
778113,George M. Steinbrenner Field,87,Clear,"5 mph, R To L"
778114,Rogers Centre,68,Roof Closed,"0 mph, None"
778117,Citi Field,71,Partly Cloudy,"9 mph, L To R"
778111,Rate Field,54,Cloudy,"3 mph, L To R"
778106,Globe Life Field,74,Roof Closed,"0 mph, None"
778100,PNC Park,81,Cloudy,"12 mph, Out To CF"
778107,Great American Ball Park,76,Cloudy,"15 mph, R To L"
778103,Citi Field,66,Partly Cloudy,"8 mph, R To L"
778097,George M. Steinbrenner Field,82,Partly Cloudy,"3 mph, R To L"
778108,Progressive Field,78,Partly Cloudy,"15 mph, Out To LF"
778094,Rate Field,67,Overcast,"18 mph, Out To LF"
778096,Globe Life Field,74,Roof Closed,"0 mph, None"
778099,Citizens Bank Park,75,Cloudy,"14 mph, Out To CF"
778095,Rogers Centre,68,Roof Closed,"0 mph, None"
778101,Angel Stadium,67,Partly Cloudy,"9 mph, Out To CF"
778098,Oracle Park,54,Partly Cloudy,"14 mph, Out To CF"
778087,Great American Ball Park,67,Overcast,"5 mph, Out To LF"
778090,PNC Park,61,Overcast,"5 mph, Out To LF"
778086,Citizens Bank Park,84,Partly Cloudy,"12 mph, Out To RF"
778093,Oriole Park at Camden Yards,82,Clear,"3 mph, Out To CF"
778088,Yankee Stadium,78,Partly Cloudy,"9 mph, R To L"
778081,Rogers Centre,68,Roof Closed,"0 mph, None"
778089,Fenway Park,64,Partly Cloudy,"3 mph, Out To LF"
778091,loanDepot park,80,Clear,"10 mph, L To R"
778092,Truist Park,79,Partly Cloudy,"10 mph, Out To RF"
778079,Rate Field,49,Cloudy,"10 mph, In From LF"
778083,Globe Life Field,74,Roof Closed,"0 mph, None"
778080,American Family Field,63,Roof Closed,"0 mph, None"
778084,Busch Stadium,62,Partly Cloudy,"5 mph, Out To RF"
778085,Angel Stadium,68,Clear,"8 mph, Out To CF"
778082,Oracle Park,56,Partly Cloudy,"18 mph, Out To CF"
778074,Yankee Stadium,79,Sunny,"11 mph, R To L"
778066,Rate Field,50,Partly Cloudy,"18 mph, Out To RF"
778064,Rogers Centre,68,Roof Closed,"0 mph, None"
778065,PNC Park,62,Overcast,"8 mph, Calm"
778069,Oracle Park,59,Partly Cloudy,"10 mph, Out To CF"
778073,Fenway Park,82,Sunny,"18 mph, Out To LF"
778075,loanDepot park,72,Roof Closed,"0 mph, None"
778078,Citizens Bank Park,82,Partly Cloudy,"13 mph, Out To CF"
778077,Great American Ball Park,53,Overcast,"9 mph, Out To RF"
778070,Globe Life Field,73,Clear,"9 mph, In From LF"
778071,American Family Field,68,Roof Closed,"0 mph, None"
778072,Oriole Park at Camden Yards,78,Cloudy,"5 mph, Out To LF"
778076,Truist Park,59,Overcast,"10 mph, L To R"
778067,Angel Stadium,61,Overcast,"7 mph, R To L"
778068,Busch Stadium,63,Cloudy,"8 mph, Out To RF"
778053,Busch Stadium,58,Cloudy,"11 mph, Out To RF"
778068,Busch Stadium,63,Cloudy,"8 mph, Out To RF"
778062,Oriole Park at Camden Yards,72,Cloudy,"6 mph, R To L"
778051,PNC Park,63,Cloudy,"6 mph, R To L"
778063,Fenway Park,72,Partly Cloudy,"3 mph, Out To CF"
778057,Yankee Stadium,67,Cloudy,"10 mph, R To L"
778056,Rogers Centre,68,Roof Closed,"0 mph, None"
778061,loanDepot park,72,Roof Closed,"0 mph, None"
778059,Citizens Bank Park,68,Overcast,"9 mph, Out To LF"
778055,Rate Field,52,Partly Cloudy,"8 mph, Out To RF"
778054,American Family Field,64,Roof Closed,"0 mph, None"
778052,Globe Life Field,74,Sunny,"9 mph, Varies"
778048,Oracle Park,64,Sunny,"15 mph, Varies"
778050,Angel Stadium,65,Overcast,"8 mph, Out To RF"
778058,Great American Ball Park,59,Overcast,"6 mph, Out To LF"
778060,Truist Park,66,Partly Cloudy,"14 mph, R To L"
778047,loanDepot park,72,Roof Closed,"0 mph, None"
778045,Yankee Stadium,59,Rain,"9 mph, In From LF"
778049,Truist Park,68,Partly Cloudy,"7 mph, R To L"
778044,Wrigley Field,54,Partly Cloudy,"8 mph, In From LF"
778043,Kauffman Stadium,73,Clear,"6 mph, R To L"
778042,American Family Field,66,Roof Closed,"0 mph, None"
778036,Busch Stadium,60,Partly Cloudy,"4 mph, Out To LF"
778039,Chase Field,76,Roof Closed,"0 mph, None"
778038,Sutter Health Park,83,Clear,"17 mph, L To R"
778046,Nationals Park,70,Partly Cloudy,"2 mph, L To R"
778026,Nationals Park,70,Cloudy,"12 mph, Out To RF"
778046,Nationals Park,70,Partly Cloudy,"2 mph, L To R"
778035,loanDepot park,72,Roof Closed,"0 mph, None"
778037,Fenway Park,60,Rain,"3 mph, Out To LF"
778040,George M. Steinbrenner Field,85,Partly Cloudy,"6 mph, In From CF"
778041,Yankee Stadium,60,Overcast,"12 mph, R To L"
778034,Truist Park,77,Partly Cloudy,"6 mph, R To L"
778027,Wrigley Field,68,Clear,"5 mph, In From CF"
778028,Target Field,83,Clear,"6 mph, In From LF"
778033,Kauffman Stadium,74,Partly Cloudy,"8 mph, R To L"
778031,American Family Field,65,Clear,"2 mph, L To R"
778030,Busch Stadium,72,Partly Cloudy,"5 mph, Out To LF"
778025,Angel Stadium,61,Overcast,"7 mph, Out To CF"
778032,Chase Field,74,Clear,"2 mph, Out To RF"
778024,Sutter Health Park,83,Clear,"7 mph, Out To RF"
778029,Coors Field,70,Clear,"8 mph, In From LF"
778022,Nationals Park,72,Partly Cloudy,"7 mph, In From LF"
778015,American Family Field,63,Roof Closed,"0 mph, None"
778016,Busch Stadium,69,Partly Cloudy,"8 mph, In From LF"
778020,Wrigley Field,55,Partly Cloudy,"16 mph, In From LF"
778010,Sutter Health Park,73,Sunny,"10 mph, R To L"
778014,Chase Field,78,Roof Closed,"0 mph, None"
778017,loanDepot park,85,Sunny,"9 mph, In From LF"
778018,Fenway Park,71,Partly Cloudy,"4 mph, Out To CF"
778021,George M. Steinbrenner Field,84,Partly Cloudy,"5 mph, Out To CF"
778019,Yankee Stadium,70,Overcast,"7 mph, R To L"
778023,Truist Park,68,Partly Cloudy,"6 mph, L To R"
778011,Target Field,69,Partly Cloudy,"12 mph, In From LF"
778012,Kauffman Stadium,62,Overcast,"3 mph, R To L"
778013,Coors Field,54,Partly Cloudy,"4 mph, R To L"
778009,Angel Stadium,72,Clear,"9 mph, Out To CF"
778007,Target Field,62,Sunny,"7 mph, R To L"
778006,Fenway Park,73,Partly Cloudy,"8 mph, Out To CF"
778008,Kauffman Stadium,69,Partly Cloudy,"12 mph, In From RF"
778004,Coors Field,64,Sunny,"10 mph, Out To LF"
778029,Coors Field,70,Clear,"8 mph, In From LF"
778005,George M. Steinbrenner Field,87,Partly Cloudy,"7 mph, L To R"
778003,Truist Park,83,Clear,"7 mph, R To L"
778000,Angel Stadium,76,Clear,"5 mph, Out To CF"
777999,Chase Field,92,Clear,"5 mph, Out To RF"
777996,Comerica Park,63,Clear,"3 mph, Out To RF"
777998,PNC Park,61,Partly Cloudy,"10 mph, Out To RF"
777995,Nationals Park,59,Clear,"14 mph, In From LF"
778002,George M. Steinbrenner Field,82,Partly Cloudy,"12 mph, Out To CF"
778001,Citi Field,57,Cloudy,"7 mph, L To R"
777997,Progressive Field,56,Clear,"6 mph, L To R"
777990,Kauffman Stadium,73,Partly Cloudy,"9 mph, L To R"
777991,Rate Field,58,Clear,"6 mph, L To R"
777989,Daikin Park,73,Roof Closed,"0 mph, None"
777992,Target Field,84,Partly Cloudy,"8 mph, Out To LF"
777993,Coors Field,71,Partly Cloudy,"5 mph, In From CF"
777986,Angel Stadium,85,Clear,"8 mph, Out To CF"
777988,Chase Field,94,Clear,"4 mph, Varies"
777984,T-Mobile Park,64,Cloudy,"9 mph, In From LF"
777994,Sutter Health Park,91,Clear,"6 mph, Varies"
777980,Nationals Park,73,Sunny,"8 mph, In From LF"
777985,PNC Park,72,Sunny,"9 mph, Out To CF"
777972,Sutter Health Park,88,Sunny,"4 mph, R To L"
777981,George M. Steinbrenner Field,84,Cloudy,"8 mph, R To L"
777987,Comerica Park,70,Clear,"8 mph, Out To RF"
777983,Progressive Field,72,Clear,"3 mph, In From LF"
777979,Daikin Park,73,Roof Closed,"0 mph, None"
777977,Kauffman Stadium,80,Clear,"6 mph, In From RF"
777978,Rate Field,55,Clear,"16 mph, Out To RF"
777982,Citi Field,68,Clear,"8 mph, L To R"
777974,Target Field,75,Partly Cloudy,"6 mph, In From RF"
777975,Chase Field,76,Roof Closed,"0 mph, None"
777976,Coors Field,78,Clear,"6 mph, R To L"
777973,Angel Stadium,89,Clear,"7 mph, R To L"
777970,T-Mobile Park,64,Partly Cloudy,"6 mph, Out To LF"
777968,Citi Field,73,Sunny,"9 mph, In From LF"
777962,Nationals Park,81,Partly Cloudy,"3 mph, In From LF"
777967,PNC Park,72,Sunny,"5 mph, In From CF"
777969,Comerica Park,63,Sunny,"10 mph, In From LF"
777964,George M. Steinbrenner Field,78,Overcast,"9 mph, R To L"
777963,Daikin Park,73,Roof Closed,"0 mph, None"
777965,Kauffman Stadium,79,Sunny,"8 mph, In From RF"
777956,Target Field,85,Sunny,"15 mph, R To L"
777966,Rate Field,64,Sunny,"5 mph, L To R"
777955,Coors Field,82,Sunny,"7 mph, R To L"
777957,Sutter Health Park,75,Sunny,"18 mph, Out To CF"
777961,Angel Stadium,89,Partly Cloudy,"8 mph, Out To CF"
777954,Chase Field,76,Roof Closed,"0 mph, None"
777958,T-Mobile Park,58,Cloudy,"0 mph, Calm"
777971,Progressive Field,61,Clear,"8 mph, In From CF"
777960,Progressive Field,71,Partly Cloudy,"13 mph, In From CF"
